x,height,y,mass,friction
0.,0.,0.,1.,.3
1.,0.,0.,1.,.3
2.,0.,0.,1.,.3
3.,0.,0.,1.,.3
4.,0.,0.,1.,.3
0.,0.,1.,1.,.3
1.,0.,1.,1.,.3
2.,0.,1.,1.,.3
3.,0.,1.,1.,.3
4.,0.,1.,1.,.3
5.,0.,1.,7.,.3
6.,0.,1.,7.,.3
7.,0.,1.,7.,.3
8.,0.,1.,7.,.3
0.,0.,2.,1.,.3
1.,0.,2.,1.,.3
2.,0.,2.,1.,.3
3.,0.,2.,1.,.3
4.,0.,2.,1.,.3
5.,0.,2.,7.,.3
6.,0.,2.,7.,.3
7.,0.,2.,7.,.3
8.,0.,2.,7.,.3
0.,0.,3.,1.,.3
1.,0.,3.,1.,.3
2.,0.,3.,1.,.3
3.,0.,3.,1.,.3
4.,0.,3.,1.,.3
5.,0.,3.,7.,.3
6.,0.,3.,7.,.3
7.,0.,3.,7.,.3
8.,0.,3.,7.,.3
0.,0.,4.,1.,.3
1.,0.,4.,1.,.3
2.,0.,4.,1.,.3
3.,0.,4.,1.,.3
4.,0.,4.,1.,.3
5.,0.,4.,7.,.3
6.,0.,4.,7.,.3
7.,0.,4.,7.,.3
8.,0.,4.,7.,.3
0.,0.,5.,1.,.3
1.,0.,5.,1.,.3
2.,0.,5.,1.,.3
3.,0.,5.,1.,.3
4.,0.,5.,1.,.3
5.,0.,5.,7.,.3
6.,0.,5.,7.,.3
7.,0.,5.,7.,.3
8.,0.,5.,7.,.3
0.,0.,6.,1.,.3
1.,0.,6.,1.,.3
2.,0.,6.,1.,.3
3.,0.,6.,1.,.3
4.,0.,6.,1.,.3
5.,0.,6.,7.,.3
6.,0.,6.,7.,.3
7.,0.,6.,7.,.3
8.,0.,6.,7.,.3
0.,0.,7.,1.,.3
1.,0.,7.,1.,.3
2.,0.,7.,1.,.3
3.,0.,7.,1.,.3
4.,0.,7.,1.,.3
