x,height,y,mass,friction
0.,0.,0.,1.,.3
1.,0.,0.,1.,.3
0.,0.,1.,1.,.3
1.,0.,1.,1.,.3
0.,0.,2.,1.,.3
1.,0.,2.,1.,.3
0.,0.,3.,1.,.3
1.,0.,3.,1.,.3
0.,0.,4.,1.,.3
1.,0.,4.,1.,.3
0.,0.,5.,1.,.3
1.,0.,5.,1.,.3
0.,0.,6.,1.,.3
1.,0.,6.,1.,.3
0.,0.,7.,1.,.3
1.,0.,7.,1.,.3
0.,0.,8.,1.,.3
1.,0.,8.,1.,.3
1.,0.,9.,1.,.3
2.,0.,4.,1.,.3
2.,0.,5.,1.,.3
2.,0.,6.,1.,.3
2.,0.,7.,1.,.3
2.,0.,8.,1.,.3
2.,0.,9.,1.,.3
2.,0.,10.,1.,.3
3.,0.,10.,1.,.3
4.,0.,11.,1.,.3
3.,0.,4.,1.,.3
3.,0.,5.,1.,.3
3.,0.,6.,1.,.3
3.,0.,7.,1.,.3
4.,0.,5.,1.,.3
4.,0.,6.,1.,.3
5.,0.,5.,1.,.3
5.,0.,6.,1.,.3
6.,0.,5.,1.,.3
6.,0.,6.,1.,.3
7.,0.,5.,1.,.3
7.,0.,6.,1.,.3
8.,0.,5.,1.,.3
8.,0.,6.,1.,.3
9.,0.,5.,1.,.3
9.,0.,6.,1.,.3
10.,0.,5.,1.,.3
10.,0.,6.,1.,.3
11.,0.,5.,1.,.3
11.,0.,6.,1.,.3
12.,0.,5.,1.,.3
12.,0.,6.,1.,.3
13.,0.,5.,1.,.3
13.,0.,6.,1.,.3
14.,0.,5.,1.,.3
14.,0.,6.,1.,.3
15.,0.,5.,1.,.3
15.,0.,6.,1.,.3
16.,0.,5.,1.,.3
16.,0.,6.,1.,.3
17.,0.,5.,1.,.3
17.,0.,6.,1.,.3
18.,0.,5.,1.,.3
18.,0.,6.,1.,.3
19.,0.,5.,1.,.3
19.,0.,6.,1.,.3
20.,0.,5.,1.,.3
20.,0.,6.,1.,.3
21.,0.,5.,1.,.3
21.,0.,6.,1.,.3
22.,0.,5.,1.,.3
22.,0.,6.,1.,.3
23.,0.,5.,1.,.3
23.,0.,6.,1.,.3
24.,0.,5.,1.,.3
24.,0.,6.,1.,.3
25.,0.,5.,1.,.3
25.,0.,6.,1.,.3
26.,0.,5.,1.,.3
26.,0.,6.,1.,.3
27.,0.,5.,1.,.3
27.,0.,6.,1.,.3
28.,0.,5.,1.,.3
28.,0.,6.,1.,.3
29.,0.,5.,1.,.3
29.,0.,6.,1.,.3
30.,0.,5.,1.,.3
30.,0.,6.,1.,.3
31.,0.,5.,1.,.3
31.,0.,6.,1.,.3
