x,height,y,mass,friction
0.,0.,1.,1.,0.5
0.,0.,2.,1.,0.5
0.,0.,3.,1.,0.5
0.,0.,4.,1.,0.5
0.,0.,5.,1.,0.5
1.,0.,1.,1.,0.5
1.,0.,2.,1.,0.5
1.,0.,3.,1.,0.5
1.,0.,4.,1.,0.5
1.,0.,5.,1.,0.5
2.,0.,3.,1.,0.0
2.,0.,4.,1.,0.0
3.,0.,2.,1.,0.3
3.,0.,3.,1.,0.3
3.,0.,4.,1.,0.3
4.,0.,2.,1.,0.3
4.,0.,3.,1.,0.3
4.,0.,4.,1.,0.3
5.,0.,2.,1.,0.3
5.,0.,3.,1.,0.3
5.,0.,4.,1.,0.3
5.,0.,5.,1.,0.3
6.,0.,2.,1.,0.3
6.,0.,3.,1.,0.3
6.,0.,4.,1.,0.3
6.,0.,5.,1.,0.3
7.,0.,2.,10.,0.3
7.,0.,3.,10.,0.3
7.,0.,4.,10.,0.3
7.,0.,5.,10.,0.3
7.,0.,6.,10.,0.3
8.,0.,1.,10.,0.3
8.,0.,2.,10.,0.3
8.,0.,3.,10.,0.3
8.,0.,4.,10.,0.3
8.,0.,5.,10.,0.3
8.,0.,6.,10.,0.3
9.,0.,0.,10.,0.3
9.,0.,1.,10.,0.3
9.,0.,2.,10.,0.3
9.,0.,3.,10.,0.3
9.,0.,4.,10.,0.3
9.,0.,5.,10.,0.3
9.,0.,6.,10.,0.3
10.,0.,0.,10.,0.3
10.,0.,1.,10.,0.3
10.,0.,2.,10.,0.3
10.,0.,3.,10.,0.3
10.,0.,4.,10.,0.3
10.,0.,5.,10.,0.3
10.,0.,6.,10.,0.3
11.,0.,0.,10.,0.3
11.,0.,1.,10.,0.3
11.,0.,2.,10.,0.3
11.,0.,3.,10.,0.3
11.,0.,4.,10.,0.3
11.,0.,5.,10.,0.3
11.,0.,6.,10.,0.3
12.,0.,0.,10.,0.3
12.,0.,1.,10.,0.3
12.,0.,2.,10.,0.3
12.,0.,3.,10.,0.3
12.,0.,4.,10.,0.3
12.,0.,5.,10.,0.3
12.,0.,6.,10.,0.3
13.,0.,0.,10.,0.3
13.,0.,1.,10.,0.3
13.,0.,2.,10.,0.3
13.,0.,3.,10.,0.3
13.,0.,4.,10.,0.3
13.,0.,5.,10.,0.3
13.,0.,6.,10.,0.3
14.,0.,0.,10.,0.3
14.,0.,1.,10.,0.3
14.,0.,2.,10.,0.3
14.,0.,3.,10.,0.3
14.,0.,4.,10.,0.3
14.,0.,5.,10.,0.3
15.,0.,0.,10.,0.3
15.,0.,1.,10.,0.3
15.,0.,2.,10.,0.3
15.,0.,3.,10.,0.3
15.,0.,4.,10.,0.3
15.,0.,5.,10.,0.3
