x,height,y,mass,friction
1.,0.,0.,4.,0.3
2.,0.,0.,4.,0.3
2.,0.,1.,4.,0.3
2.,0.,2.,4.,0.3
2.,0.,3.,4.,0.3
1.,0.,3.,5.,0.3
0.,0.,3.,5.,0.3
3.,0.,1.,5.,0.3
3.,0.,2.,5.,0.3
4.,0.,1.,5.,0.3
4.,0.,2.,5.,0.3
5.,0.,1.,5.,0.3
5.,0.,2.,5.,0.3
6.,0.,1.,1.,0.3
6.,0.,2.,1.,0.3
7.,0.,1.,1.,0.3
7.,0.,2.,1.,0.3
8.,0.,1.,1.,0.3
8.,0.,2.,1.,0.3
9.,0.,1.,1.,0.3
9.,0.,2.,1.,0.3
10.,0.,1.,1.,0.3
10.,0.,2.,1.,0.3
11.,0.,1.,1.,0.3
11.,0.,2.,1.,0.3
12.,0.,1.,1.,0.3
12.,0.,2.,1.,0.3
13.,0.,1.,1.,0.3
13.,0.,2.,1.,0.3
14.,0.,1.,1.,0.3
14.,0.,2.,1.,0.4
15.,0.,1.,1.,0.4
15.,0.,2.,1.,0.4
16.,0.,1.,1.,0.4
16.,0.,2.,1.,0.4
17.,0.,1.,1.,0.4
17.,0.,2.,1.,0.4
18.,0.,1.,1.,0.4
18.,0.,2.,1.,0.4
19.,0.,1.,1.,0.3
19.,0.,2.,1.,0.3
20.,0.,1.,1.,0.3
20.,0.,2.,1.,0.3
21.,0.,1.,1.,0.3
21.,0.,2.,1.,0.3
22.,0.,1.,5.,0.3
22.,0.,2.,5.,0.3
23.,0.,2.,5.,0.3
24.,0.,3.,5.,0.3
25.,0.,2.,5.,0.3
25.,0.,1.,5.,0.3
24.,0.,0.,5.,0.3
